gene_id	seqid	strand	biotype	name	description
ENSSSAG00000024918	AGKD04224823.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000024920	AGKD04221172.1	.	snoRNA		
ENSSSAG00000024924	AGKD04263255.1	.	protein_coding		
ENSSSAG00000024929	AGKD04168244.1	.	protein_coding		
ENSSSAG00000024932	AGKD04277255.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000024934	AGKD04279805.1	.	protein_coding		
ENSSSAG00000024941	AGKD04254548.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000024943	AGKD04222732.1	.	protein_coding		
ENSSSAG00000024958	AGKD04244768.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000024959	AGKD04259156.1	.	protein_coding		
ENSSSAG00000024964	AGKD04308339.1	.	protein_coding		
ENSSSAG00000024967	AGKD04221172.1	.	snoRNA		
ENSSSAG00000024969	AGKD04224823.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000024970	AGKD04267200.1	.	protein_coding		
ENSSSAG00000024972	AGKD04044395.1	.	protein_coding	si:ch211-257p13.3	si:ch211-257p13.3 [Source:ZFIN%3BAcc:ZDB-GENE-110914-108]
ENSSSAG00000024978	AGKD04066261.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000024984	AGKD04290096.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000024989	AGKD04348446.1	.	protein_coding		
ENSSSAG00000024994	AGKD04263331.1	.	protein_coding		
ENSSSAG00000024995	AGKD04293060.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000025005	AGKD04311253.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025009	AGKD04222733.1	.	protein_coding		
ENSSSAG00000025012	AGKD04221172.1	.	snoRNA		
ENSSSAG00000025014	ssa22	.	lncRNA		
ENSSSAG00000025016	AGKD04066261.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025025	AGKD04259163.1	.	protein_coding		
ENSSSAG00000025029	AGKD04244770.1	.	protein_coding		
ENSSSAG00000025033	AGKD04077039.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025042	AGKD04293063.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025045	AGKD04241339.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025048	AGKD04221172.1	.	snoRNA		
ENSSSAG00000025054	AGKD04066261.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025069	AGKD04265140.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025071	AGKD04218824.1	.	protein_coding		
ENSSSAG00000025073	AGKD04078386.1	.	protein_coding		
ENSSSAG00000025074	AGKD04311308.1	.	protein_coding		
ENSSSAG00000025090	AGKD04221172.1	.	snoRNA		
ENSSSAG00000025108	AGKD04025814.1	.	protein_coding	inha	inhibin subunit alpha [Source:ZFIN%3BAcc:ZDB-GENE-060503-554]
ENSSSAG00000025109	AGKD04244780.1	.	protein_coding		
ENSSSAG00000025111	AGKD04235270.1	.	protein_coding		
ENSSSAG00000025116	AGKD04293136.1	.	protein_coding		
ENSSSAG00000025117	AGKD04342976.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025118	AGKD04269442.1	.	protein_coding		
ENSSSAG00000025129	AGKD04279843.1	.	protein_coding		
ENSSSAG00000025131	AGKD04218847.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025135	AGKD04249350.1	.	protein_coding		
ENSSSAG00000025136	AGKD04215659.1	.	pseudogene		
ENSSSAG00000025138	AGKD04224865.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025157	AGKD04326227.1	.	protein_coding		
ENSSSAG00000025160	AGKD04241387.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000025168	AGKD04103417.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025172	AGKD04218993.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025180	AGKD04097173.1	.	protein_coding		
ENSSSAG00000025183	AGKD04099752.1	.	protein_coding		
ENSSSAG00000025187	AGKD04293197.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025188	AGKD04244799.1	.	protein_coding		
ENSSSAG00000025189	AGKD04235270.1	.	pseudogene		
ENSSSAG00000025192	AGKD04222751.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025205	AGKD04267342.1	.	protein_coding		
ENSSSAG00000025208	AGKD04311430.1	.	protein_coding		
ENSSSAG00000025214	AGKD04241402.1	.	protein_coding		
ENSSSAG00000025215	AGKD04295654.1	.	protein_coding		
ENSSSAG00000025217	AGKD04212764.1	.	protein_coding		
ENSSSAG00000025218	AGKD04219042.1	.	protein_coding		histone H4 [Source:NCBI gene%3BAcc:106600082]
ENSSSAG00000025219	AGKD04306616.1	.	protein_coding	gsx1	GS homeobox 1 [Source:ZFIN%3BAcc:ZDB-GENE-041008-135]
ENSSSAG00000025237	AGKD04293205.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025243	AGKD04077112.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000025246	AGKD04222751.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025257	AGKD04249415.1	.	protein_coding		
ENSSSAG00000025261	AGKD04295704.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025262	AGKD04241501.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025270	AGKD04311469.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025288	AGKD04212859.1	.	protein_coding		
ENSSSAG00000025295	AGKD04044435.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025304	AGKD04222775.1	.	protein_coding		
ENSSSAG00000025307	AGKD04235272.1	.	protein_coding		
ENSSSAG00000025309	AGKD04295766.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025311	AGKD04265282.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025320	AGKD04241537.1	.	protein_coding		
ENSSSAG00000025326	AGKD04279890.1	.	protein_coding		
ENSSSAG00000025331	AGKD04224872.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025334	AGKD04044472.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025339	AGKD04306773.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025349	AGKD04322351.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025351	AGKD04308376.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025360	AGKD04101207.1	.	protein_coding		
ENSSSAG00000025361	AGKD04348567.1	.	snRNA	U4	U4 spliceosomal RNA [Source:RFAM%3BAcc:RF00015]
ENSSSAG00000025362	AGKD04222805.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025364	AGKD04269466.1	.	protein_coding		
ENSSSAG00000025370	AGKD04044472.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025372	AGKD04265287.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025374	AGKD04295773.1	.	protein_coding		
ENSSSAG00000025378	AGKD04094432.1	.	protein_coding		
ENSSSAG00000025386	AGKD04343256.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025389	AGKD04102491.1	.	snoRNA		
ENSSSAG00000025391	AGKD04235289.1	.	protein_coding		
ENSSSAG00000025392	AGKD04329227.1	.	protein_coding		
ENSSSAG00000025393	AGKD04259285.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025401	AGKD04308376.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025406	AGKD04222805.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025407	AGKD04066295.1	.	protein_coding		
ENSSSAG00000025424	AGKD04117419.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025430	AGKD04102491.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025438	AGKD04249447.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025439	AGKD04343256.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025444	AGKD04025831.1	.	protein_coding	jazf1b	juxtaposed with another zinc finger protein 1-like [Source:NCBI gene%3BAcc:106596072]
ENSSSAG00000025446	AGKD04044555.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025450	AGKD04103483.1	.	snoRNA		
ENSSSAG00000025456	AGKD04308422.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025461	AGKD04259291.1	.	protein_coding		
ENSSSAG00000025463	AGKD04329307.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025465	AGKD04279924.1	.	pseudogene		
ENSSSAG00000025466	AGKD04241587.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025470	AGKD04235302.1	.	protein_coding		
ENSSSAG00000025471	AGKD04293250.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025474	AGKD04099764.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025485	AGKD04102491.1	.	snoRNA		
ENSSSAG00000025487	AGKD04044555.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025490	AGKD04249447.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025493	AGKD04221656.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025494	AGKD04265337.1	.	snoRNA		
ENSSSAG00000025495	AGKD04029416.1	.	protein_coding	si:dkeyp-81f3.4	A-kinase anchor protein 14-like [Source:NCBI gene%3BAcc:106596765]
ENSSSAG00000025511	AGKD04343290.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025513	AGKD04103483.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025522	AGKD04326325.1	.	pseudogene		
ENSSSAG00000025528	AGKD04102491.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025529	AGKD04263396.1	.	miRNA	ssa-mir-27a-2	ssa-mir-27a-2 [Source:miRBase%3BAcc:MI0026658]
ENSSSAG00000025534	AGKD04293257.1	.	protein_coding		
ENSSSAG00000025538	AGKD04348593.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025542	AGKD04295930.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025547	AGKD04221672.1	.	protein_coding		
ENSSSAG00000025548	AGKD04219141.1	.	protein_coding		
ENSSSAG00000025561	AGKD04265337.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025562	AGKD04103483.1	.	snoRNA		
ENSSSAG00000025571	AGKD04254647.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025575	AGKD04097242.1	.	protein_coding		
ENSSSAG00000025581	AGKD04102501.1	.	protein_coding		
ENSSSAG00000025585	AGKD04029416.1	.	protein_coding	pnpla8	calcium-independent phospholipase A2-gamma-like [Source:NCBI gene%3BAcc:106596764]
ENSSSAG00000025590	AGKD04263469.1	.	protein_coding		
ENSSSAG00000025592	AGKD04348651.1	.	protein_coding		
ENSSSAG00000025598	AGKD04295976.1	.	protein_coding		
ENSSSAG00000025600	AGKD04259330.1	.	protein_coding		
ENSSSAG00000025601	AGKD04086411.1	.	protein_coding		
ENSSSAG00000025603	AGKD04103483.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025608	AGKD04280064.1	.	protein_coding		
ENSSSAG00000025610	AGKD04245124.1	.	protein_coding		
ENSSSAG00000025625	AGKD04219286.1	.	protein_coding		
ENSSSAG00000025626	AGKD04277640.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025634	AGKD04269597.1	.	protein_coding		
ENSSSAG00000025641	AGKD04207690.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025642	AGKD04066296.1	.	protein_coding		
ENSSSAG00000025652	AGKD04306882.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025653	AGKD04235340.1	.	snoRNA		
ENSSSAG00000025656	AGKD04224982.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025660	AGKD04249539.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025670	ssa16	.	lncRNA		
ENSSSAG00000025675	AGKD04277665.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025680	AGKD04280092.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025684	AGKD04254737.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025685	AGKD04101909.1	.	snoRNA		
ENSSSAG00000025692	AGKD04224982.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025695	AGKD04235340.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025702	AGKD04078411.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025713	AGKD04249616.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025719	AGKD04101909.1	.	snoRNA		
ENSSSAG00000025723	AGKD04245160.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025724	AGKD04280150.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025730	AGKD04254794.1	.	protein_coding		
ENSSSAG00000025734	AGKD04043821.1	.	protein_coding		
ENSSSAG00000025737	AGKD04066296.1	.	protein_coding		
ENSSSAG00000025739	AGKD04329379.1	.	protein_coding		
ENSSSAG00000025740	ssa03	.	snoRNA		
ENSSSAG00000025744	AGKD04343332.1	.	protein_coding		
ENSSSAG00000025749	AGKD04277741.1	.	protein_coding		
ENSSSAG00000025751	AGKD04235407.1	.	protein_coding		
ENSSSAG00000025752	AGKD04077153.1	.	protein_coding		
ENSSSAG00000025753	AGKD04348653.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025754	AGKD04029445.1	.	protein_coding	ier2a	immediate early response gene 2 protein-like [Source:NCBI gene%3BAcc:106596769]
ENSSSAG00000025757	AGKD04044633.1	.	protein_coding	mrps33	mitochondrial ribosomal protein S33 [Source:ZFIN%3BAcc:ZDB-GENE-040715-6]
ENSSSAG00000025760	AGKD04101909.1	.	snoRNA		
ENSSSAG00000025761	AGKD04308512.1	.	protein_coding		
ENSSSAG00000025772	AGKD04265460.1	.	protein_coding		
ENSSSAG00000025775	ssa03	.	snoRNA		
ENSSSAG00000025782	AGKD04245178.1	.	protein_coding		
ENSSSAG00000025786	AGKD04249721.1	.	protein_coding		
ENSSSAG00000025791	AGKD04101909.1	.	snoRNA		
ENSSSAG00000025801	AGKD04254797.1	.	snoRNA		
ENSSSAG00000025804	AGKD04102518.1	.	snoRNA		
ENSSSAG00000025805	AGKD04329418.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025808	AGKD04290380.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025811	AGKD04101296.1	.	pseudogene		
ENSSSAG00000025816	ssa03	.	snoRNA		
ENSSSAG00000025823	AGKD04277752.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025824	AGKD04259368.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000025826	AGKD04101909.1	.	snoRNA		
ENSSSAG00000025827	AGKD04219286.1	.	protein_coding		
ENSSSAG00000025828	AGKD04208262.1	.	protein_coding		
ENSSSAG00000025829	AGKD04025882.1	.	miRNA	ssa-mir-30b	ssa-mir-30b [Source:miRBase%3BAcc:MI0026678]
ENSSSAG00000025834	AGKD04029448.1	.	protein_coding		
ENSSSAG00000025835	AGKD04307064.1	.	protein_coding		
ENSSSAG00000025837	AGKD04254797.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025842	AGKD04102518.1	.	snoRNA		
ENSSSAG00000025853	ssa03	.	snoRNA		
ENSSSAG00000025854	AGKD04290392.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025859	AGKD04259368.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000025865	AGKD04094477.1	.	protein_coding		
ENSSSAG00000025867	AGKD04311714.1	.	protein_coding		
ENSSSAG00000025879	AGKD04296117.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025880	AGKD04326397.1	.	protein_coding		
ENSSSAG00000025881	AGKD04025882.1	.	miRNA	ssa-mir-30e-3	ssa-mir-30e-3 [Source:miRBase%3BAcc:MI0026685]
ENSSSAG00000025887	AGKD04102518.1	.	snoRNA		
ENSSSAG00000025890	AGKD04235451.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000025892	AGKD04221831.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025912	ssa07	.	lncRNA		uncharacterized LOC106608897 [Source:NCBI gene%3BAcc:106608897]
ENSSSAG00000025921	AGKD04290400.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025928	AGKD04102518.1	.	snoRNA		
ENSSSAG00000025931	AGKD04329578.1	.	protein_coding		
ENSSSAG00000025939	AGKD04265502.1	.	protein_coding		
ENSSSAG00000025942	AGKD04044637.1	.	protein_coding	ccdc12	coiled-coil domain-containing protein 12-like [Source:NCBI gene%3BAcc:106598362]
ENSSSAG00000025950	AGKD04241732.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000025960	AGKD04208371.1	.	protein_coding		
ENSSSAG00000025967	AGKD04277894.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000025977	AGKD04245320.1	.	protein_coding		
ENSSSAG00000025978	AGKD04102518.1	.	snoRNA		
ENSSSAG00000025979	AGKD04213183.1	.	protein_coding		
ENSSSAG00000025987	AGKD04029487.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000025988	AGKD04280266.1	.	protein_coding		
ENSSSAG00000026007	AGKD04329611.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000026011	AGKD04066297.1	.	protein_coding		
ENSSSAG00000026020	AGKD04307238.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000026027	AGKD04029487.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000026031	AGKD04296195.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026043	AGKD04249863.1	.	protein_coding		
ENSSSAG00000026044	AGKD04219329.1	.	protein_coding		
ENSSSAG00000026051	AGKD04102518.1	.	snoRNA		
ENSSSAG00000026057	AGKD04329625.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026064	AGKD04103530.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000026065	AGKD04259450.1	.	snoRNA		
ENSSSAG00000026069	AGKD04029487.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000026074	AGKD04222979.1	.	snRNA	U4	U4 spliceosomal RNA [Source:RFAM%3BAcc:RF00015]
ENSSSAG00000026086	AGKD04225080.1	.	protein_coding		
ENSSSAG00000026099	AGKD04102520.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026104	AGKD04208371.1	.	protein_coding		
ENSSSAG00000026113	AGKD04259450.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000026114	AGKD04219380.1	.	protein_coding		
ENSSSAG00000026124	AGKD04221878.1	.	protein_coding		
ENSSSAG00000026125	AGKD04290436.1	.	misc_RNA	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM%3BAcc:RF00017]
ENSSSAG00000026128	AGKD04094550.1	.	protein_coding		
ENSSSAG00000026133	AGKD04213243.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000026139	AGKD04114060.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026151	AGKD04103556.1	.	protein_coding		
ENSSSAG00000026152	AGKD04102559.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026178	AGKD04269723.1	.	protein_coding		
ENSSSAG00000026194	AGKD04254959.1	.	snoRNA		
ENSSSAG00000026196	AGKD04221881.1	.	protein_coding		
ENSSSAG00000026200	AGKD04343475.1	.	protein_coding		
ENSSSAG00000026211	AGKD04278020.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000026217	AGKD04326405.1	.	protein_coding		
ENSSSAG00000026219	AGKD04329649.1	.	protein_coding		
ENSSSAG00000026223	AGKD04245424.1	.	protein_coding		
ENSSSAG00000026232	AGKD04293595.1	.	protein_coding		
ENSSSAG00000026236	AGKD04265590.1	.	protein_coding		
ENSSSAG00000026253	AGKD04296211.1	.	snoRNA		
ENSSSAG00000026254	ssa14	.	protein_coding	zp3f.2	uncharacterized LOC106569434 [Source:NCBI gene%3BAcc:106569434]
ENSSSAG00000026258	AGKD04241792.1	.	protein_coding		
ENSSSAG00000026264	AGKD04278020.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000026265	AGKD04223100.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000026266	AGKD04009473.1	.	lncRNA		
ENSSSAG00000026280	AGKD04322983.1	.	protein_coding		
ENSSSAG00000026284	AGKD04235550.1	.	protein_coding		
ENSSSAG00000026286	AGKD04280411.1	.	snRNA	U1	U1 spliceosomal RNA [Source:RFAM%3BAcc:RF00003]
ENSSSAG00000026289	AGKD04122332.1	.	protein_coding		
ENSSSAG00000026290	ssa08	.	snRNA	U7	U7 small nuclear RNA [Source:RFAM%3BAcc:RF00066]
ENSSSAG00000026306	AGKD04223100.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000026308	AGKD04296211.1	.	snoRNA	U3	Small nucleolar RNA U3 [Source:RFAM%3BAcc:RF00012]
ENSSSAG00000026309	AGKD04329655.1	.	protein_coding		
ENSSSAG00000026316	AGKD04249897.1	.	protein_coding		
ENSSSAG00000026317	AGKD04219450.1	.	protein_coding		
ENSSSAG00000026320	AGKD04259470.1	.	protein_coding		
ENSSSAG00000026321	AGKD04269848.1	.	snRNA	U6	U6 spliceosomal RNA [Source:RFAM%3BAcc:RF00026]
ENSSSAG00000026327	AGKD04086067.1	.	protein_coding		
ENSSSAG00000026330	AGKD04225231.1	.	snRNA	U2	U2 spliceosomal RNA [Source:RFAM%3BAcc:RF00004]
ENSSSAG00000026344	AGKD04241807.1	.	protein_coding		
ENSSSAG00000026353	AGKD04245507.1	.	protein_coding		
ENSSSAG00000026359	AGKD04267477.1	.	protein_coding		
ENSSSAG00000026367	AGKD04278065.1	.	snRNA	U4	U4 spliceosomal RNA [Source:RFAM%3BAcc:RF00015]
ENSSSAG00000026373	AGKD04269865.1	.	protein_coding		
ENSSSAG00000026380	AGKD04225231.1	.	snRNA	U5	U5 spliceosomal RNA [Source:RFAM%3BAcc:RF00020]
ENSSSAG00000026381	AGKD04322993.1	.	pseudogene		
ENSSSAG00000026391	AGKD04219461.1	.	protein_coding		
ENSSSAG00000026405	AGKD04015991.1	.	lncRNA		
ENSSSAG00000026414	AGKD04311873.1	.	protein_coding		
ENSSSAG00000026422	AGKD04343483.1	.	protein_coding		
ENSSSAG00000026423	AGKD04245513.1	.	protein_coding		
ENSSSAG00000026439	AGKD04280467.1	.	protein_coding		
